"","cultivar_name","alternate","breeder","color","crop","type","number","release_year","technology"
"136","P1197R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194258","20190912","R"
"137","P1257R","X08D413 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194272","20190912","R"
"138","P1395RR","BG 3568 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123170","20120814","R"
"139","P1395YRBR","BG 3768 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123171","20120814","BR"
"140","P1486B","PHB 3X13C816Y B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133341","20130912","B"
"141","P1498RR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133327","20130912","R"
"142","P1513R","X13K598 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194259","20190912","R"
"143","P1517WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163768","20160726","BR"
"144","P1517WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163769","20160726","R"
"145","P1518WBR","X13A502W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20194285","20190912","BR"
"146","P1615BR","P 1615YR BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123172","20120814","BR"
"147","P1615R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20102768","20100816","R"
"148","P1615YRBR","P1615 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123172","20120814","BR"
"149","P1637BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163795","20160726","BR"
"150","P1637R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153640","20150728","R"
"151","P1690BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174011","20170828","BR"
"152","P1690R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153641","20150728","R"
"153","P1745B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163796","20160726","B"
"154","P1745BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174012","20170828","BR"
"155","P1745R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153642","20150728","R"
"156","P1788B","X18F883 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194273","20190912","B"
"157","P1788BR","X18F883 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194274","20190912","BR"
"158","P1788R","X18F883 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194275","20190912","R"
"159","P1814BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194260","20190912","BR"
"160","P1814R","PHB 3X18A655R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153661","20150728","R"
"161","P1973B","PHB 3X7F761T B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123189","20120814","B"
"162","P2048B","P 2048Y B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123173","20120814","B"
"163","P2048BR","P 2048YR  BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123174","20120814","BR"
"164","P2048YB","P2048 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123173","20120814","B"
"165","P2048YRBR","P2048 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123174","20120814","BR"
"166","P2137B","PHB 3X23B151Y B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133344","20130912","B"
"167","P2137BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194261","20190912","BR"
"168","P2137R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20184149","20180816","R"
"169","P2311WB","PHB X80407777W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20163785","20160726","B"
"170","P2311WBR","PAN 5Q-651 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20153608","20150716","BR"
"171","P2319B","PHB X23H518 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163806","20160726","B"
"172","P2319BR","X23H518 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194262","20190912","BR"
"173","P2319R","X23H518 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174029","20170828","R"
"174","P2369WB","P 2369WY B","Corteva Agriscience RSA","White","Zea mays","GM","A 20123127","20120807","B"
"175","P2369WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173981","20170824","BR"
"176","P2369WYB","P2369W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20123127","20120807","B"
"177","P2370B","PHB X23F442 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163804","20160726","B"
"178","P2432BR","X23B148 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194263","20190912","BR"
"179","P2432R","PHB 3X23B148R R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123188","20120814","R"
"180","P2452WR","PAN 4R-511 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20143467","20140822","R"
"181","P2531WR","X18K290W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20194296","20190912","R"
"182","P2553WB","PHB 3SA88214804 B","Corteva Agriscience RSA","White","Zea mays","GM","A 20163777","20160726","B"
"183","P2553WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173982","20170824","BR"
"184","P2553WR","PHB X23F438W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20163787","20160726","R"
"185","P2553WYR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"186","P2555WB","X23F438W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20194290","20190912","B"
"187","P2555WBR","X23F438W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20194286","20190912","BR"
"188","P2565WB","X25K091W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20194291","20190912","B"
"189","P2653BR","PHB 3SA42130899 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20123139","20120807","BR"
"190","P2653WBR","","Corteva Agriscience RSA","White","Zea mays","GM","","","BR"
"191","P2653WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20102726","20100521","B"
"192","P2707WBR","PHB 3X28D299WYR BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20143476","20140822","BR"
"193","P2707WYR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"194","P2823WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20102727","20100521","B"
"195","P2823WBR","PHB 3X28C225YR BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20143466","20140822","BR"
"196","P2823WR","P 2823WR R","Corteva Agriscience RSA","White","Zea mays","GM","A 20123128","20120807","R"
"197","P2823WRR","P2823W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20123128","20120807","R"
"198","P2842WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194287","20190912","B"
"199","P2864WBR","PHB 3SA88214401 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20153615","20150716","BR"
"200","P2864WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20174003","20170824","R"
"201","P2864WYR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"202","P2865WBR","AF94894946W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20194283","20190912","BR"
"203","P2880WBR","PHB 3X28D308WYR BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20153618","20150716","BR"
"204","P2880WYR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"205","P2927WR","X30K277W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20184163","20180816","R"
"206","P2927WYR","X30K277W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20173990","20170824","R"
"207","P2961WB","PHB 3X28C224WY B","Corteva Agriscience RSA","White","Zea mays","GM","A 20133287","20130808","B"
"208","P2961WBR","PHB 3SA42130906 BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20133285","20130808","BR"
"209","P2961WYR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"210","P3058WY","PHB X28D297W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20163781","20160726","B"
"211","PAN3B-304CB","","Pannar Seed","Yellow","Zea mays","GM","A 20133328","20130912","B"
"212","PAN3D-432B","","Pannar Seed","Yellow","Zea mays","GM","A 20052184","20050818","B"
"213","PAN3D-736BR","","Pannar Seed","Yellow","Zea mays","GM","A 20072421","20070327","BR"
"214","PAN3P-502R","","Pannar Seed","Yellow","Zea mays","GM","A 20072484","20070801","R"
"215","PAN3Q-236B","","Pannar Seed","Yellow","Zea mays","GM","","","B"
"216","PAN3Q-422B","","Pannar Seed","Yellow","Zea mays","GM","A 20082632","20080731","B"
"217","PAN3Q-704BR","","Pannar Seed","Yellow","Zea mays","GM","","","BR"
"218","PAN3Q-740BR","","Pannar Seed","Yellow","Zea mays","GM","A 20082628","20080731","BR"
"219","PAN3R-500R","X13D093 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20184150","20180816","R"
"220","PAN3R-524R","X13D102 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194264","20190912","R"
"221","PAN3R-573R","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194295","20190912","R"
"222","PAN3R-586R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163797","20160726","R"
"223","PAN3R-644R","","Pannar Seed","Yellow","Zea mays","GM","A 20102866","20100816","R"
"224","PAN3R-700BR","X13D093 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174017","20170828","BR"
"225","PAN3R-724BR","X13D102 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174018","20170828","BR"
"226","PAN3R-786BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153643","20150728","BR"
"227","PAN3R-788BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153644","20150728","BR"
"228","PAN4B-311B","PHB 3X23A012WY B","Corteva Agriscience RSA","White","Zea mays","GM","A 20123144","20120807","B"
"229","PAN4B-312CB","","Pannar Seed","Yellow","Zea mays","GM","A 20123175","20120814","B"
"230","PAN4B-328B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153645","20150728","B"
"231","PAN4B-376B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20163798","20160726","B"
"232","PAN4B-440CB","","Pannar Seed","Yellow","Zea mays","GM","A 20133329","20130912","B"
"233","PAN4B-472B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194265","20190912","B"
"234","PAN4P-316B","","Pannar Seed","Yellow","Zea mays","GM","A 20082631","20080731","B"
"235","PAN4P-434B","","Pannar Seed","Yellow","Zea mays","GM","","","B"
"236","PAN4P-516R","","Pannar Seed","Yellow","Zea mays","GM","A 20102827","20100816","R"
"237","PAN4P-716BR","","Pannar Seed","Yellow","Zea mays","GM","A 20082635","20080731","BR"
"238","PAN4P-746BR","","Pannar Seed","Yellow","Zea mays","GM","","","BR"
"239","PAN4P-767BR","","Pannar Seed","White","Zea mays","GM","A 20072423","20070205","BR"
"240","PAN4R-310GT","PAN 4R-520GT","Pannar Seed","Yellow","Zea mays","GM","A 20133330","20130912","R"
"241","PAN4R-511R","P 2452W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20143467","20140822","R"
"242","PAN4R-520GT","PAN 4R-310 GT","Pannar Seed","Yellow","Zea mays","GM","A 20133330","20130912","R"
"243","PAN4R-528R","X13K591 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194266","20190912","R"
"244","PAN4R-560R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153646","20150728","R"
"245","PAN4R-576R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20153647","20150728","R"
"246","PAN4R-672R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174026","20170828","R"
"247","PAN4R-711BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163770","20160726","BR"
"248","PAN4R-722BR","","Pannar Seed","Yellow","Zea mays","GM","A 20133331","20130912","BR"
"249","PAN4R-728BR","X13K591 YR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194267","20190912","BR"
"250","PAN4R-772BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174013","20170828","BR"
"251","PAN4R-776BR","PHB 3X18B776YR BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20143488","20140822","BR"
"252","PAN4R-872BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194268","20190912","BR"
"253","PAN5685R","BG 5685 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20112958","20110729","R"
"254","PAN5B-355B","","Corteva Agriscience RSA","White","Zea mays","GM","A 20153606","20150716","B"
"255","PAN5B-385B","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173993","20170824","B"
"256","PAN5B-485B","","Corteva Agriscience RSA","White","Zea mays","GM","A 20163771","20160726","B"
"257","PAN5B-491B","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194288","20190912","B"
"258","PAN5Q-433B","","Pannar Seed","White","Zea mays","GM","A 20082609","20080807","B"
"259","PAN5Q-649R","","Pannar Seed","White","Zea mays","GM","A 20102730","20100521","R"
"260","PAN5Q-651BR","P2311W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20153608","20150716","BR"
"261","PAN5Q-651R","","Pannar Seed","White","Zea mays","GM","A 20123132","20120807","R"
"262","PAN5Q-653R","","Pannar Seed","White","Zea mays","GM","","","R"
"263","PAN5Q-749BR","","Pannar Seed","White","Zea mays","GM","A 20112952","20110729","BR"
"264","PAN5Q-751BR","","Pannar Seed","White","Zea mays","GM","A 20123134","20120807","BR"
