variety,variety_trim,alternate,breeder,color,crop,type,number,release_year,technology,
DKC74-24 B,DKC74-24B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20174020,20170828,B,B
DKC74-26 R,DKC74-26R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20133320,20130912,R,R
DKC74-74 BR,DKC74-74BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20143483,20140822,BR,BR
DKC75-65 BR,DKC75-65BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20173978,20170824,BR,BR
DKC76-61 B,DKC76-61B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20163767,20160726,B,B
DKC76-67 BR,DKC76-67BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20173979,20170824,BR,BR
DKC76-73 R,DKC76-73R,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20184154,20180816,R,R
DKC76-75 B,DKC76-75B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20204379,20201208,B,B
DKC76-77 BR,DKC76-77BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20184155,20180816,BR,BR
DKC77-61B,DKC77-61B,,Bayer (Pty) Ltd,White,Zea mays,GM,,,B,B
DKC77-77 BR,DKC77-77BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20123121,20120807,BR,BR
DKC77-85 B,DKC77-85B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20112947,20110729,B,B
DKC78-15B,DKC78-15B,,Bayer (Pty) Ltd,White,Zea mays,GM,,,B,B
DKC78-17 B,DKC78-17B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20123122 ,20120807,B,B
DKC78-27,DKC78-27,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20133348,20130930,0,0
DKC78-35 R,DKC78-35R,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20042054,20040820,R,R
DKC78-45 BR,DKC78-45BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20072418,20070205,BR,BR
DKC78-49 BR,DKC78-49BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20072419,20070205,BR,BR
